Characteristic,Home,,Hospital inpatient,,Nursing home or long-term care facility,,Hospice facility,,All other places,,,,,
Decedents under 65:,,,,,,,,,,,,,,
2006,29.6,0.07,37.8,0.08,5.3,0.03,1.6,0.02,25.8,0.06,,,,
2011,32.0,0.07,35.2,0.07,5.2,0.03,4.0,0.02,23.6,0.06,,,,
2016,33.4,0.07,33.4,0.07,4.7,0.03,5.7,0.03,22.8,0.06,,,,
Decedents 65 and over:,,,,,,,,,,,,,,
2006,23.5,0.04,35.9,0.05,28.2,0.04,2.2,0.01,10.2,0.02,,,,
2011,25.8,0.04,31.1,0.04,26.9,0.04,5.8,0.02,10.4,0.02,,,,
2016,29.4,0.04,27.9,0.04,24.7,0.04,8.5,0.02,9.5,0.02,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,